,SMIC,HuaHong,Nexchip,GigaDevice,Montage,OmniVision,SGMicro,Novosense,Ingenic,Biren,Iluvatar,Horizon,BlackSesame,Innoscience,SICC,Gpixel,ASMPT,CFMEE,NSing,Fortior,Axera,HSTECH
Iluvatar,0.6426946446946988,0.6460176578405548,0.6644650579628504,0.5934214912454693,0.5732159384346014,0.46171322355056904,0.4858448729180709,0.5917373257448012,0.378641561110715,0.6346936955480954,1.0,0.03863485291818733,0.41570973786761206,0.7705240834118354,0.5513567086939597,0.7099116786233046,0.6180875631058658,0.594551392401412,0.5805311444076555,0.5839975046368485,0.5399645947160726,0.33721442170036753
Horizon,0.14319032935630993,0.1412193381811004,-0.02844944504757886,-0.09431728687507565,-0.08267724938461431,0.13684872133745468,-0.02340292829131757,0.16004850566614126,0.2035211715512088,0.06403482084205912,0.03863485291818733,1.0,0.34843835348150926,0.2357644162122925,0.04550121971263441,-0.0319160042299894,-0.07738075426696639,0.06798843799896942,-0.030195499604729423,0.02005747744524945,-0.15271050398946384,0.37504735606964684
BlackSesame,0.4154787103003696,0.3463280849383256,0.36442292913879004,0.2782693720607537,0.22243982633841847,0.3476212292520506,0.30416322254159345,0.37031513457741616,-0.29495506815820244,0.30277327047061436,0.41570973786761206,0.34843835348150926,1.0,0.47190105640374197,0.32491616487139446,0.2358796819885409,0.26618093954338934,0.4052944945591141,0.3882687533202645,0.2149728505109423,0.09915999948638775,0.43581959416388005
Innoscience,0.7895842431189157,0.726760424151899,0.6519681297418519,0.6900760380800901,0.6356636922360285,0.3436784973296773,0.5456345608245471,0.6909153911735142,0.19903184726565087,0.7082631950048397,0.7705240834118354,0.2357644162122925,0.47190105640374197,1.0,0.6682006169672008,0.7123021893103633,0.7247938084383967,0.6482719355919141,0.6802173523518599,0.6229547528812674,0.5431353729520548,0.4163912421691852
SICC,0.572707283292741,0.5720798956947253,0.6111746777145628,0.6290641520841509,0.5236839105117261,0.586102194378479,0.6259087729194519,0.6241485650121893,0.5701998920915855,0.6321970257149785,0.5513567086939597,0.04550121971263441,0.32491616487139446,0.6682006169672008,1.0,0.5192410984848156,0.7566522765461025,0.5719129148373512,0.6629775393097602,0.485195818382617,0.3954470606513169,0.33463400345940036
Gpixel,0.695734250290005,0.7865754755565197,0.6077381219519802,0.6133487273930623,0.6190088294448826,0.2751522650056618,0.5120919288356994,0.5482169996718633,0.04115432424103034,0.7616302552465508,0.7099116786233046,-0.0319160042299894,0.2358796819885409,0.7123021893103633,0.5192410984848156,1.0,0.6630670448539064,0.5847632041135523,0.546820318576462,0.5651921267513543,0.6108329568848928,0.43412350768092905
ASMPT,0.5976242216098494,0.7050922448434447,0.6942681985717081,0.7734628511386455,0.708602454382916,0.38847181042788137,0.5790485066879199,0.7023500318738876,0.51853976960567,0.7029377316015919,0.6180875631058658,-0.07738075426696639,0.26618093954338934,0.7247938084383967,0.7566522765461025,0.6630670448539064,1.0,0.5850337567986109,0.6751906292027166,0.5594570655442969,0.4986057109620027,0.25587959301612906
CFMEE,0.7079368514545784,0.58327926940413,0.45393219053779926,0.517268830870373,0.4902364565921956,0.13591215060002357,0.6234745108397463,0.49973493886412496,0.2772027950623257,0.5441971473128915,0.594551392401412,0.06798843799896942,0.4052944945591141,0.6482719355919141,0.5719129148373512,0.5847632041135523,0.5850337567986109,1.0,0.6243269554403865,0.43959279430541187,0.41598056976432707,0.38232101809861396
NSing,0.6463497531638254,0.6243310463665408,0.6309012431568947,0.6337011062919703,0.4866318116573185,0.38823702569224694,0.6446499595560278,0.702672973760576,0.4206392834810821,0.7126962153762889,0.5805311444076555,-0.030195499604729423,0.3882687533202645,0.6802173523518599,0.6629775393097602,0.546820318576462,0.6751906292027166,0.6243269554403865,1.0,0.6616732925574335,0.5892160509240354,0.22575352926886413
Fortior,0.557554672684737,0.5920307481771347,0.6401643047257257,0.5332032110914657,0.33064203480530385,0.49910666879749993,0.4757554304712204,0.5201018186456919,0.5129917713265973,0.706593354771018,0.5839975046368485,0.02005747744524945,0.2149728505109423,0.6229547528812674,0.485195818382617,0.5651921267513543,0.5594570655442969,0.43959279430541187,0.6616732925574335,1.0,0.6127055956312767,0.3527653646365393
Axera,0.3829174501780707,0.4036733585624995,0.38187294194962745,0.317085265522826,0.23398227023210771,0.19645209587206736,0.387392810593704,0.32938213804009575,-0.13463164119060195,0.6389412659146256,0.5399645947160726,-0.15271050398946384,0.09915999948638775,0.5431353729520548,0.3954470606513169,0.6108329568848928,0.4986057109620027,0.41598056976432707,0.5892160509240354,0.6127055956312767,1.0,0.2794914751670513
HSTECH,0.4864364071894212,0.38289465009836465,0.30354405410938073,0.17542962725217806,0.08874099572363335,0.5085512607903632,0.4613550050918079,0.2560069681147512,-0.18914605959127942,0.3931427042692932,0.33721442170036753,0.37504735606964684,0.43581959416388005,0.4163912421691852,0.33463400345940036,0.43412350768092905,0.25587959301612906,0.38232101809861396,0.22575352926886413,0.3527653646365393,0.2794914751670513,1.0
