List of Designated Securities Eligible for Short Selling,
Effective date : 11/09/2026,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
232,1051,G-RESOURCES,HKD,EQTY,,,
233,1052,YUEXIUTRANSPORT,HKD,EQTY,,,
234,1055,CHINA SOUTH AIR,HKD,EQTY,,,
235,1060,DAMAI ENT,HKD,EQTY,,,
236,1066,WEIGAO GROUP,HKD,EQTY,,,
237,1070,TCL ELECTRONICS,HKD,EQTY,,,
238,1071,HUADIAN POWER,HKD,EQTY,,,
239,1072,DONGFANG ELEC,HKD,EQTY,,,
240,1083,TG SMART ENERGY,HKD,EQTY,,,
241,1088,CHINA SHENHUA,HKD,EQTY,,,
242,1093,CSPC PHARMA,HKD,EQTY,,,
243,1099,SINOPHARM,HKD,EQTY,,,
244,1104,APAC RESOURCES,HKD,EQTY,,,
245,1109,CHINA RES LAND,HKD,EQTY,,,
246,1112,H&H INTL HLDG,HKD,EQTY,,,
247,1113,CK ASSET,HKD,EQTY,,,
248,1114,BRILLIANCE CHI,HKD,EQTY,,,
249,1115,5100 XIZANG,HKD,EQTY,,,
250,1117,CH MODERN D,HKD,EQTY,,,
251,1126,DREAM INT'L,HKD,EQTY,,,
252,1128,WYNN MACAU,HKD,EQTY,,,
253,1133,HARBIN ELECTRIC,HKD,EQTY,,,
254,1138,COSCO SHIP ENGY,HKD,EQTY,,,
255,1157,ZOOMLION,HKD,EQTY,,,
256,1164,CGN MINING,HKD,EQTY,,,
257,1167,JACOBIO-B,HKD,EQTY,,,
258,1171,YANKUANG ENERGY,HKD,EQTY,,,
259,1177,SBP GROUP,HKD,EQTY,,,
260,1179,HWORLD-S,HKD,EQTY,,,
261,1186,CHINA RAIL CONS,HKD,EQTY,,,
262,1193,CHINA RES GAS,HKD,EQTY,,,
263,1196,REALORD TECH,HKD,EQTY,,,
264,1199,COSCO SHIP PORT,HKD,EQTY,,,
265,1205,CITIC RESOURCES,HKD,EQTY,,Add,
266,1208,MMG,HKD,EQTY,,,
267,1209,CHINA RES MIXC,HKD,EQTY,,,
268,1211,BYD COMPANY,HKD,EQTY,,,
269,1216,ZYBANK,HKD,EQTY,,,
270,1221,SINO HOTELS,HKD,EQTY,,,
271,1223,SYMPHONY HOLD,HKD,EQTY,,,
272,1234,CHINA LILANG,HKD,EQTY,,,
273,1258,CHINFMINING,HKD,EQTY,,,
274,1276,HENGRUI PHARMA,HKD,EQTY,,,
275,1277,KINETIC DEV,HKD,EQTY,,,
276,1286,IMPRO PRECISION,HKD,EQTY,,,
277,1288,ABC,HKD,EQTY,,,
278,1299,AIA,HKD,EQTY,,,
279,1302,LIFETECH SCI,HKD,EQTY,,,
280,1304,FORTIOR,HKD,EQTY,,,
281,1308,SITC,HKD,EQTY,,,
282,1310,HKBN,HKD,EQTY,,,
283,1313,CR BLDG MAT TEC,HKD,EQTY,,,
284,1316,NEXTEER,HKD,EQTY,,,
285,1318,MAO GEPING,HKD,EQTY,,,
286,1330,DYNAGREEN ENV,HKD,EQTY,,,
287,1333,BRETON,HKD,EQTY,,,
288,1336,NCI,HKD,EQTY,,,
289,1339,PICC GROUP,HKD,EQTY,,,
290,1347,HUA HONG GRACE,HKD,EQTY,,,
291,1357,MEITU,HKD,EQTY,,,
292,1359,CHINA CINDA,HKD,EQTY,,,
293,1361,361 DEGREES,HKD,EQTY,,,
294,1364,GUMING,HKD,EQTY,,,
